	TH-1	TH-2	TH-3	T-1	T-2	T-3	pvalue	log2FC	UPDOWN
BraA04002202	18	15	8	0.005	0.005	0.005	0.0439527998852278	11.4164456936717	Up
BraA04002203	74	80	114	296	255	241	0.00147035617792075	-1.56326742962184	Down
BraA04002204	0.005	0.005	0.005	1	7	2	0.214777460963008	-9.38082178394093	Not sig
BraA04002207	533	483	692	251	283	334	0.0339971539837677	0.976541027176011	Not sig
BraA04002208	8	8	29	12	15	18	1	0	Not sig
BraA04002210	415	596.05	461	43	49	38	0.014190551270232	3.50124314678328	Up
BraA04002211	0.005	0.33	0.005	0.005	0.33	0.33	0.518518518518519	-0.96781959425085	Not sig
BraA04002212	662	819	721	71	51	65	0.00409742660535364	3.55770429367673	Up
BraA04002213	430	379	549	147	149	188	0.0225846524737726	1.48840452697014	Up
BraA04002214	9	3	15	65	93	77	0.00613979576631793	-3.12162944440153	Down
BraA04002218	10	18	4	59	47	61	0.00168896460595414	-2.38370429247405	Down
BraA04002220	0.005	32.55	8.48	6.39	0.005	0.005	0.357806081165043	2.68071114307209	Not sig
BraA04002223	9	12.45	8.52	2.61	2	0.005	0.00736792561198671	2.6991165308678	Up
BraA04002224	7	2	4	601	935	838	0.0155035343182121	-7.51266450150082	Down
BraA04002225	35	32	48	33	37	21	0.309084507013384	0.337695410745679	Not sig
BraA04002226	47	41	61	37	39	33	0.144434896680009	0.450984195685235	Not sig
BraA04002227	89	93	96	49	79	76.29	0.118646968305253	0.444466297103305	Not sig
BraA04002228	522	505	427	165	202	282	0.00440771512414294	1.16373688592046	Up
BraA04002229	13	14	7	9	3	8	0.180832882173996	0.765534746362977	Not sig
BraA04002233	0.005	0.005	0.005	2	4	6	0.0743454913103891	-9.64385618977473	Not sig
BraA04002234	6	4	6	29	23	25	0.00335413538611154	-2.2667865406949	Down
BraA04002235	329	282	324	260	356	291	0.789189921169728	0.0438638142464767	Not sig
BraA04002236	319	265	313	180	172	176	0.0173230169536659	0.764570055560808	Not sig
BraA04002240	116	103	123	120	143	172	0.164882086364401	-0.347019075850193	Not sig
BraA04002242	381	433	477	83	95	116	0.00340962311857978	2.13460094047083	Up
BraA04002244	85	92	119	5444	2707	7211	0.0618118366840145	-5.69762506866754	Not sig
BraA04002245	278	238	332	184	237	143	0.0697672402587402	0.588369102164406	Not sig
BraA04002246	10	8	7	6	6	8	0.211298666267751	0.321928094887362	Not sig
BraA04002247	3	1	0.005	4	7	4	0.0522556814403417	-1.90508835297453	Not sig
BraA04002248	1290	1014	661	1414	1870	1615	0.0508674442146197	-0.724455186849485	Not sig
BraA04002249	204	202	249	183	244	227	0.98950801401313	0.00220427092673002	Not sig
BraA04002250	1	1	0.005	0.005	0.005	0.005	0.183503419072274	7.06249592573376	Not sig
BraA04002252	57.5	33	37.5	42.5	37	36.5	0.652721232431027	0.142019004872428	Not sig
BraA04002254	57.5	33	37.5	42.5	37	36.5	0.652721232431027	0.142019004872428	Not sig
BraA04002255	10	10	10	20	30	26	0.0340907911986415	-1.34103691783507	Down
BraA04002256	28	34	18	27	7	11	0.208563262146756	0.830074998557688	Not sig
BraA04002257	50	77	40	31	48.01	45	0.329718446081248	0.429391640404045	Not sig
BraA04002258	341	316	263	233	363	304	0.88847784865284	0.0317088597273384	Not sig
BraA04002259	1064.77	1005	1151	671	969	877.51	0.0997881694381679	0.355408130503592	Not sig
BraA04002260	100	125	152	147	173	217	0.109392740430478	-0.510357564716748	Not sig
BraA04002261	44	41	55	27	26	35	0.0340906246318906	0.669851398307669	Not sig
BraA04002262	30	42	49	156	199	267	0.0323305812616012	-2.36190753285601	Down
BraA04002264	5	0.005	4	8	10	7	0.0519704413021303	-1.47312991364317	Not sig
BraA04002266	1	1	2	7	6	2	0.132659090504318	-1.90689059560852	Not sig
BraA04002268	273	369	320	99	130	85	0.00680142176069718	1.61527233487842	Up
BraA04002274	0.005	1	2	2	0.005	1	1	0	Not sig
BraA04002275	0.005	0.005	0.005	5	7	1	0.133582546120996	-9.75933340719466	Not sig
BraA04002276	47	43	47	65	46	51	0.278103712674755	-0.241817919924098	Not sig
BraA04002277	179	160	219	131.29	146.52	140	0.107191610286093	0.417418099305359	Not sig
BraA04002278	3119.83	2752.68	4062.03	2031.45	2293.09	2156.55	0.0931200702670338	0.616216699511874	Not sig
BraA04002279	2	2	0.005	0.005	0.005	0.005	0.183503419072274	8.06069593168755	Not sig
BraA04002284	39	8	14	23	34	22	0.60426758227432	-0.373043410614217	Not sig
BraA04002285	22	54	19	2	1	1	0.113446519024124	4.56985560833095	Not sig
BraA04002287	60.1	81	85	86	110	100	0.0891836494447724	-0.388636183764783	Not sig
BraA04002289	40	16	33	46	34	35	0.361211724523323	-0.369756619977978	Not sig
BraA04002290	38	51	68	24	32	21	0.0772003090886613	1.02783420819673	Not sig
BraA04002292	124	155	132	55	43	37	0.00265139572576992	1.60617898663085	Up
BraA04002293	188	174	211	141	136	148	0.034555426481612	0.431072297731841	Not sig
BraA04002295	137	78	68	292	350	313	0.00152814958804283	-1.75469868009123	Down
BraA04002296	15	18	8	6	4	12	0.175265191141093	0.898120385980786	Not sig
BraA04002298	8	3	14	0.005	1	0.005	0.126864634634659	4.62950089679765	Not sig
BraA04002299	0.005	2	1	2	0.005	2	0.724380667344825	-0.414437251697525	Not sig
BraA04002300	183	118	163	260	334	317.62	0.00769102678584848	-0.974307770834723	Not sig
